Title,Publish Date,View Count,Like Count,Comment Count,Bookmark Count,Article URL,Column Name,Source,Title En,Column Name En
Android L Phone进程初始化_01,2015-02-12,5678,0,1,12,https://blog.csdn.net/shrimpcolo/article/details/43766579,Android 5.0,CSDN,Android L Phone process initialization_01,Android 5.0
如何解决Phone模块bug,2015-07-04,1726,0,0,1,https://blog.csdn.net/shrimpcolo/article/details/46755325,Android 5.0,CSDN,How to solve Phone module bug,Android 5.0
Android L Telecom进程初始化之目录分析,2015-03-14,5431,0,1,2,https://blog.csdn.net/shrimpcolo/article/details/44257655,Android 5.0,CSDN,Directory analysis of Android L Telecom process initialization,Android 5.0
Android L Phone进程初始化_02,2015-02-26,3163,0,1,4,https://blog.csdn.net/shrimpcolo/article/details/43951989,Android 5.0,CSDN,Android L Phone process initialization_02,Android 5.0
Android L Phone的目录结构与进程模型,2015-01-31,3097,0,0,2,https://blog.csdn.net/shrimpcolo/article/details/43341775,Android 5.0,CSDN,Directory structure and process model of Android L Phone,Android 5.0
Android Lollipop Phone模块学习计划,2015-01-30,1581,0,0,1,https://blog.csdn.net/shrimpcolo/article/details/43313281,Android 5.0,CSDN,Android Lollipop Phone module learning plan,Android 5.0
Google ZXing系列讲解(二)——生成WIFi二维码,2017-02-22,3491,0,0,3,https://blog.csdn.net/shrimpcolo/article/details/56494504,Android App,CSDN,Google ZXing series explanation (2) - Generating WIFi QR code,Android App
Google ZXing系列讲解(五)——ZXing 仿微信扫描UI,2017-03-02,1662,1,0,4,https://blog.csdn.net/shrimpcolo/article/details/59484615,Android App,CSDN,Google ZXing series explanation (5) - ZXing imitates WeChat scanning UI,Android App
实现Gmail邮箱翻转效果之开篇,2016-01-07,2696,0,0,0,https://blog.csdn.net/shrimpcolo/article/details/50468712,Android App,CSDN,The beginning of realizing the Gmail mailbox flipping effect,Android App
实现Gmail邮箱翻转效果之翻转动画,2016-01-07,1557,0,0,0,https://blog.csdn.net/shrimpcolo/article/details/50409071,Android App,CSDN,Flip animation to achieve Gmail mailbox flip effect,Android App
Facebook SDK集成之纲要篇,2015-12-15,1090,0,0,1,https://blog.csdn.net/shrimpcolo/article/details/50310607,Android App,CSDN,Facebook SDK integration outline,Android App
PersistableBundle引发的血案,2017-11-12,3507,0,0,0,https://blog.csdn.net/shrimpcolo/article/details/78504863,Android App,CSDN,The murder caused by PersistableBundle,Android App
Facebook SDK集成之分享篇,2015-12-15,3590,0,0,1,https://blog.csdn.net/shrimpcolo/article/details/50316525,Android App,CSDN,Sharing of Facebook SDK integration,Android App
Facebook SDK集成之登录篇,2015-12-15,4084,1,3,1,https://blog.csdn.net/shrimpcolo/article/details/50315905,Android App,CSDN,Facebook SDK integration login chapter,Android App
RecyclerView的重构之路汇总,2017-02-05,770,0,0,0,https://blog.csdn.net/shrimpcolo/article/details/54880948,Android App,CSDN,Summary of the road to reconstruction of RecyclerView,Android App
Facebook SDK集成之准备篇,2015-12-15,3103,0,0,0,https://blog.csdn.net/shrimpcolo/article/details/50313995,Android App,CSDN,Preparation for Facebook SDK integration,Android App
Android Studio集成Facebook SDK,2015-10-15,2511,0,0,0,https://blog.csdn.net/shrimpcolo/article/details/49153289,Android App,CSDN,Android Studio Collection Facebook SDK,Android App
ListView中隐藏输入法键盘,2015-07-04,1540,0,0,1,https://blog.csdn.net/shrimpcolo/article/details/46756679,Android App,CSDN,Hide input method keyboard in ListView,Android App
Android Studio集成Facebook SDK Sample,2015-10-15,4129,0,0,2,https://blog.csdn.net/shrimpcolo/article/details/49150829,Android App,CSDN,Android Studio Collection Facebook SDK Sample,Android App
实现自定义对话框中的属性动画,2015-08-02,1320,0,0,0,https://blog.csdn.net/shrimpcolo/article/details/47219135,Android App,CSDN,Implement property animation in custom dialog boxes,Android App
实现自定义对话框中的属性动画-续,2015-08-12,935,0,0,0,https://blog.csdn.net/shrimpcolo/article/details/47429931,Android App,CSDN,Implement property animation in custom dialog boxes-continued,Android App
如何获取视频路径,2015-08-22,7312,0,0,2,https://blog.csdn.net/shrimpcolo/article/details/47787491,Android App,CSDN,How to get the video path,Android App
实现Gmail邮箱翻转效果之ActionBar,2016-01-07,934,0,0,0,https://blog.csdn.net/shrimpcolo/article/details/50474333,Android App,CSDN,ActionBar to achieve Gmail mailbox flipping effect,Android App
AS导入源码卡在Gradle构建界面,2015-10-29,1836,0,0,0,https://blog.csdn.net/shrimpcolo/article/details/49498965,Android Studio,CSDN,AS import source code is stuck in Gradle build interface,Android Studio
Android Studio无法显示Layout预览,2015-08-27,16818,1,0,1,https://blog.csdn.net/shrimpcolo/article/details/48028591,Android Studio,CSDN,Android Studio cannot display Layout preview,Android Studio
RecyclerView的重构之路(一),2016-07-20,4241,7,1,0,https://www.jianshu.com/p/99cd83778373,Android开发,Jianshu,The road to reconstruction of RecyclerView (1),Android development
RecyclerView的重构之路(二),2016-07-21,4390,1,0,0,https://www.jianshu.com/p/81270f444a6f,Android开发,Jianshu,The road to reconstruction of RecyclerView (2),Android development
RecyclerView的重构之路(四),2016-07-22,4490,1,0,0,https://www.jianshu.com/p/5eac09f5bb92,Android开发,Jianshu,The road to reconstruction of RecyclerView (4),Android development
RecyclerView的重构之路(五),2016-07-26,5399,24,2,0,https://www.jianshu.com/p/c4a8bfbe1f40,Android开发,Jianshu,The road to reconstruction of RecyclerView (5),Android development
RecyclerView的重构之路(六),2016-07-27,4786,2,0,0,https://www.jianshu.com/p/b1ea462f5602,Android开发,Jianshu,The road to reconstruction of RecyclerView (6),Android development
RecyclerView的重构之路(七),2016-07-28,4390,3,0,0,https://www.jianshu.com/p/9665955103c0,Android开发,Jianshu,The road to reconstruction of RecyclerView (7),Android development
RecyclerView的重构之路(八),2016-07-29,4647,2,1,0,https://www.jianshu.com/p/98399b00ae78,Android开发,Jianshu,The road to reconstruction of RecyclerView (8),Android development
又一个寡头时代的来临,2016-08-01,2383,0,0,0,https://www.jianshu.com/p/e9f4736fa08a,随笔,Jianshu,Another era of oligarchs is coming,Essay
乔布斯图片,2016-09-18,3959,2,0,0,https://www.jianshu.com/p/370d32cce94f,前端开发,Jianshu,Jobs pictures,Front-end development
ng2英雄指南相关问题,2016-10-27,4590,2,0,0,https://www.jianshu.com/p/9bd75adaed6f,前端开发,Jianshu,ng2 hero guide related questions,Front-end development
TypeScript笔记之基础类型,2016-10-29,5319,2,0,0,https://www.jianshu.com/p/5db14e3b9b71,前端开发,Jianshu,Basic types of TypeScript notes,Front-end development
windows修改npm npm-cache路径,2016-10-30,11378,1,0,0,https://www.jianshu.com/p/4da509245933,前端开发,Jianshu,windows modify npm npm-cache path,Front-end development
Angular2开发基础之TSC编译,2016-11-01,13419,8,2,0,https://www.jianshu.com/p/b12ccfdfb0c1,前端开发,Jianshu,TSC compilation based on Angular2 development,Front-end development
Angular2开发基础之Webpack,2016-11-01,10911,3,2,0,https://www.jianshu.com/p/4b4264f045b7,前端开发,Jianshu,"Webpack, the basis of Angular2 development",Front-end development
webpack打包ng2 英雄指南,2016-11-03,7974,2,1,0,https://www.jianshu.com/p/f5a21f18cfae,前端开发,Jianshu,Webpack packaging ng2 hero guide,Front-end development
如何优雅升级ng2项目,2016-11-17,8232,1,0,0,https://www.jianshu.com/p/b583e6bc6139,前端开发,Jianshu,How to upgrade ng2 project gracefully,Front-end development
